#Iteration cv_0 center_0
100 2.4164853 2.617992
200 -2.8825258 2.617992
300 1.3951444 2.617992
400 2.802315 2.617992
500 2.589214 2.617992
600 2.9432194 2.617992
700 2.6990892 2.617992
800 2.8651199 2.617992
900 2.6424628 2.617992
1000 2.0522745 2.617992
1100 -2.8702911 2.617992
1200 2.3913434 2.617992
1300 2.9842752 2.617992
1400 2.6386703 2.617992
1500 -3.0940625 2.617992
1600 1.9015089 2.617992
1700 -2.8733222 2.617992
1800 2.4455117 2.617992
1900 2.9393246 2.617992
2000 2.7964137 2.617992
2100 2.731457 2.617992
2200 2.9576217 2.617992
2300 2.4486356 2.617992
2400 -2.8788864 2.617992
2500 2.1928038 2.617992
2600 -3.1163227 2.617992
2700 2.5245751 2.617992
2800 3.1101875 2.617992
2900 2.3702381 2.617992
3000 -2.8083512 2.617992
3100 1.8241073 2.617992
3200 2.5842261 2.617992
3300 2.7659427 2.617992
3400 2.8688069 2.617992
3500 2.7092551 2.617992
3600 2.7906466 2.617992
3700 2.5045197 2.617992
3800 1.7514065 2.617992
3900 -3.0259076 2.617992
4000 2.5555871 2.617992
4100 2.9594472 2.617992
4200 2.6234869 2.617992
4300 -3.0979194 2.617992
4400 1.7153002 2.617992
4500 2.9374544 2.617992
4600 2.6014719 2.617992
4700 2.9134934 2.617992
4800 2.7044608 2.617992
4900 2.9992219 2.617992
5000 2.2415163 2.617992
5100 2.0146659 2.617992
5200 -3.0051699 2.617992
5300 2.5424198 2.617992
5400 2.9755902 2.617992
5500 2.6457909 2.617992
5600 3.0656007 2.617992
5700 1.9318217 2.617992
5800 -2.7362594 2.617992
5900 2.3454891 2.617992
6000 2.99537 2.617992
6100 2.622383 2.617992
6200 2.995453 2.617992
6300 2.5621639 2.617992
6400 -2.8787372 2.617992
6500 2.0504031 2.617992
6600 2.4938899 2.617992
6700 2.8879569 2.617992
6800 2.7952746 2.617992
6900 2.8159024 2.617992
7000 2.7213743 2.617992
7100 2.7300897 2.617992
7200 1.7735048 2.617992
7300 -3.0174539 2.617992
7400 2.6357279 2.617992
7500 2.9622928 2.617992
7600 2.6111598 2.617992
7700 -3.109736 2.617992
7800 1.9204845 2.617992
7900 -3.1193081 2.617992
8000 2.6310828 2.617992
8100 2.9040949 2.617992
8200 2.6983812 2.617992
8300 2.9925089 2.617992
8400 2.4704872 2.617992
8500 -3.087391 2.617992
8600 2.5617561 2.617992
8700 2.8798753 2.617992
8800 2.7437356 2.617992
8900 2.8882441 2.617992
9000 2.6443415 2.617992
9100 3.1313067 2.617992
9200 2.1956851 2.617992
9300 2.4747624 2.617992
9400 2.8738345 2.617992
9500 2.8107277 2.617992
9600 2.8388032 2.617992
9700 2.707959 2.617992
9800 2.9616943 2.617992
9900 2.2247042 2.617992
10000 3.105671 2.617992
10100 2.7579473 2.617992
10200 2.847082 2.617992
10300 2.7969227 2.617992
10400 2.821165 2.617992
10500 2.7425702 2.617992
10600 2.7058836 2.617992
10700 2.7235864 2.617992
10800 2.8412574 2.617992
10900 2.8095475 2.617992
11000 2.8385862 2.617992
11100 2.7861746 2.617992
11200 2.6750403 2.617992
11300 2.7463195 2.617992
11400 2.7990951 2.617992
11500 2.8323098 2.617992
11600 2.8431953 2.617992
11700 2.772076 2.617992
11800 2.7907266 2.617992
11900 2.9815029 2.617992
12000 2.6205229 2.617992
12100 2.7190391 2.617992
12200 2.7853516 2.617992
12300 2.8695738 2.617992
12400 2.7456826 2.617992
12500 2.9302812 2.617992
12600 2.6365722 2.617992
12700 2.6964942 2.617992
12800 2.7707158 2.617992
12900 2.838998 2.617992
13000 2.847828 2.617992
13100 2.7961358 2.617992
13200 2.7285571 2.617992
13300 2.9807552 2.617992
13400 2.6032226 2.617992
13500 2.9152966 2.617992
13600 2.7486041 2.617992
13700 2.8713824 2.617992
13800 2.7045758 2.617992
13900 3.0137695 2.617992
